ID_REF,Gene Symbol,Gene Title,Normal_Mean,Tumor_Mean,Log2_Fold_Change,P_Value,Adjusted_P_Value
208510_s_at,PPARG,peroxisome proliferator-activated receptor gamma,648.982004651163,176.28077674418608,-1.8743636687685943,5.857011932701758e-10,1.2671048242368279e-07
204731_at,TGFBR3,"transforming growth factor, beta receptor III",1831.0935348837213,817.0410674418607,-1.1632479834938532,7.106504600081701e-10,1.4726384454355743e-07
220061_at,ACSM5,acyl-CoA synthetase medium-chain family member 5,662.722458139535,205.85512325581396,-1.6819594012464294,7.13750177745555e-10,1.4726384454355743e-07
212230_at,PPAP2B,phosphatidic acid phosphatase type 2B,1921.0292325581402,945.3045767441862,-1.0222537705844732,7.560364933041578e-10,1.5455744202106927e-07
210869_s_at,MCAM /// MIR6756,melanoma cell adhesion molecule /// microRNA 6756,1409.4284813953489,615.2889674418604,-1.1944546431310807,8.144373228726401e-10,1.6203666844259853e-07
219737_s_at,PCDH9,protocadherin 9,1024.8641860465118,300.05589767441865,-1.768736460324204,8.855246845871103e-10,1.730890047952156e-07
213933_at,PTGER3,prostaglandin E receptor 3 (subtype EP3),2771.12323255814,1202.6133488372093,-1.20361938049632,9.268091686003146e-10,1.79583380034094e-07
221295_at,CIDEA,cell death-inducing DFFA-like effector a,1231.4681860465114,566.5618604651163,-1.1187008562584972,9.85901298466605e-10,1.8659309644990122e-07
215039_at,LINC01140,long intergenic non-protein coding RNA 1140,1564.4047441860464,617.9935813953488,-1.3385393675738866,1.0084423110067984e-09,1.8659309644990122e-07
200878_at,EPAS1,endothelial PAS domain protein 1,3069.173186046511,1210.528295348837,-1.3414919397285403,1.0132282309580418e-09,1.8659309644990122e-07
202988_s_at,RGS1,regulator of G-protein signaling 1,131.1210186046511,583.072611627907,2.144287737983617,1.0505710394555651e-09,1.9188421698515047e-07
201719_s_at,EPB41L2,erythrocyte membrane protein band 4.1-like 2,1780.5929767441862,766.9351860465115,-1.214111318655182,1.205869183910505e-09,2.1669663729901436e-07
221928_at,ACACB,acetyl-CoA carboxylase beta,1510.9803953488374,409.72634186046514,-1.8801900510121476,1.2218527476603727e-09,2.1781235820892866e-07
201963_at,ACSL1,acyl-CoA synthetase long-chain family member 1,3939.3881883720933,1385.7037813953486,-1.5066781226813086,1.330130334921114e-09,2.2976197095385414e-07
212071_s_at,SPTBN1,"spectrin, beta, non-erythrocytic 1",3472.9910465116277,1519.3717906976744,-1.1921698733176151,1.3849155345860572e-09,2.3644242877765765e-07
210299_s_at,FHL1,four and a half LIM domains 1,2509.7477139534885,773.2112465116279,-1.6973179003022427,1.3900263954527287e-09,2.3644242877765765e-07
